Region,Partikod,Parti,1994,1998,2002,2006,2010,2014,2018
0381 Enköping,KD,Kristdemokraterna,3.3,11.7,9.6,5.9,4.6,4.0,6.6
0381 Enköping,MP,Miljöpartiet,4.8,4.3,3.5,4.4,6.0,5.5,3.1
0381 Enköping,S,Socialdemokraterna,44.6,36.4,40.0,34.2,29.1,30.2,26.1
0381 Enköping,V,Vänsterpartiet,3.9,8.1,5.4,3.8,3.6,3.7,4.7
0381 Enköping,SD,Sverigedemokraterna,..,0.3,0.8,2.2,5.4,13.5,20.3
0381 Enköping,A,övriga partier,2.2,1.0,2.1,2.7,1.1,2.7,1.7
0382 Östhammar,M,Moderaterna,17.5,18.4,12.9,23.5,28.2,21.0,17.4
0382 Östhammar,C,Centerpartiet,12.7,9.8,12.2,13.1,10.7,9.0,8.8
0382 Östhammar,L,Liberalerna,4.8,3.3,8.7,6.0,5.8,4.2,4.1
0382 Östhammar,KD,Kristdemokraterna,2.0,8.8,7.9,5.5,4.2,3.2,8.4
0382 Östhammar,MP,Miljöpartiet,5.3,4.1,3.9,3.7,4.4,3.7,2.6
0382 Östhammar,S,Socialdemokraterna,50.6,42.5,46.0,39.4,35.3,38.2,30.9
0382 Östhammar,V,Vänsterpartiet,4.6,10.5,6.5,4.4,4.5,4.3,5.1
0382 Östhammar,SD,Sverigedemokraterna,..,0.3,1.2,2.3,5.5,13.2,21.1
0382 Östhammar,A,övriga partier,2.3,2.3,0.6,2.0,1.3,3.3,1.6
0428 Vingåker,M,Moderaterna,15.1,15.0,11.1,18.4,24.1,16.6,15.7
0428 Vingåker,C,Centerpartiet,9.7,6.7,7.5,7.8,6.9,6.4,7.0
0428 Vingåker,L,Liberalerna,4.7,3.2,8.6,4.1,4.1,2.6,2.6
0428 Vingåker,KD,Kristdemokraterna,3.8,10.5,8.2,6.1,4.7,3.5,6.1
0428 Vingåker,MP,Miljöpartiet,8.9,8.4,5.0,4.5,6.5,4.6,2.8
0428 Vingåker,S,Socialdemokraterna,52.4,44.8,53.0,51.0,41.5,39.0,33.4
0428 Vingåker,V,Vänsterpartiet,4.7,10.4,5.0,4.0,4.1,4.0,7.1
0428 Vingåker,SD,Sverigedemokraterna,..,0.1,0.7,2.8,7.3,20.5,24.4
0428 Vingåker,A,övriga partier,0.8,1.0,0.9,1.3,0.9,2.7,0.9
0461 Gnesta,M,Moderaterna,19.6,20.8,14.5,26.1,29.5,23.4,20.2
0461 Gnesta,C,Centerpartiet,13.3,10.7,10.4,11.3,8.9,8.7,10.7
0461 Gnesta,L,Liberalerna,6.0,3.4,11.4,5.5,5.8,3.3,3.5
0461 Gnesta,KD,Kristdemokraterna,3.6,13.0,8.5,5.6,4.0,2.9,5.1
0461 Gnesta,MP,Miljöpartiet,7.7,6.8,6.5,7.3,9.8,7.7,5.4
0461 Gnesta,S,Socialdemokraterna,42.2,34.1,40.3,34.5,28.7,30.2,25.8
0461 Gnesta,V,Vänsterpartiet,5.5,10.0,6.6,4.9,5.7,5.9,8.3
0461 Gnesta,SD,Sverigedemokraterna,..,0.2,0.6,2.5,6.0,13.2,18.8
0461 Gnesta,A,övriga partier,2.0,0.9,1.2,2.3,1.6,4.6,2.3
0480 Nyköping,M,Moderaterna,19.7,18.8,13.0,23.6,27.9,23.0,20.1
0480 Nyköping,C,Centerpartiet,7.5,5.5,6.0,7.3,6.0,6.0,8.5
0480 Nyköping,L,Liberalerna,6.4,4.0,11.3,6.7,7.0,4.5,4.5
0480 Nyköping,KD,Kristdemokraterna,3.9,12.3,9.3,7.5,5.4,4.4,6.4
0480 Nyköping,MP,Miljöpartiet,4.5,4.1,4.3,5.2,8.2,7.5,4.5
0480 Nyköping,S,Socialdemokraterna,51.2,43.2,47.4,40.4,34.4,34.0,32.0
0480 Nyköping,V,Vänsterpartiet,5.1,10.6,7.4,4.8,4.8,4.8,6.4
0480 Nyköping,SD,Sverigedemokraterna,..,0.3,0.8,2.4,5.3,12.5,16.1
0480 Nyköping,A,övriga partier,1.7,1.2,0.6,2.0,1.1,3.3,1.4
0481 Oxelösund,M,Moderaterna,12.8,12.1,9.8,18.5,23.1,17.1,15.9
0481 Oxelösund,C,Centerpartiet,2.9,2.1,1.9,3.4,2.8,2.7,4.2
0481 Oxelösund,L,Liberalerna,5.0,2.9,8.8,5.7,5.3,3.4,3.3
0481 Oxelösund,KD,Kristdemokraterna,2.1,7.7,5.9,4.6,3.3,2.8,4.7
0481 Oxelösund,MP,Miljöpartiet,4.0,3.7,4.7,4.7,7.2,5.2,3.1
0481 Oxelösund,S,Socialdemokraterna,63.3,55.2,56.2,50.7,44.2,44.1,39.7
0481 Oxelösund,V,Vänsterpartiet,8.1,14.8,11.7,8.1,7.8,8.0,8.8
0481 Oxelösund,SD,Sverigedemokraterna,..,0.4,0.5,2.3,4.8,14.0,18.8
0481 Oxelösund,A,övriga partier,1.7,1.2,0.5,1.9,1.4,2.7,1.4
0482 Flen,M,Moderaterna,17.1,17.6,12.1,20.2,24.2,18.7,16.9
0482 Flen,C,Centerpartiet,9.2,6.8,7.5,8.7,8.2,7.5,8.3
0482 Flen,L,Liberalerna,5.1,2.7,9.3,4.9,4.8,3.4,3.2
0482 Flen,KD,Kristdemokraterna,3.6,11.2,8.7,5.6,4.9,3.5,5.6
0482 Flen,MP,Miljöpartiet,5.0,4.9,4.5,4.3,5.9,4.9,3.5
0482 Flen,S,Socialdemokraterna,52.1,43.3,48.1,46.5,38.7,36.2,33.0
0482 Flen,V,Vänsterpartiet,6.1,12.1,7.5,5.4,5.5,5.4,6.9
0482 Flen,SD,Sverigedemokraterna,..,0.3,1.0,2.7,6.9,17.8,21.2
0482 Flen,A,övriga partier,1.8,1.3,1.2,1.7,0.9,2.5,1.4
0483 Katrineholm,M,Moderaterna,16.5,16.4,10.9,19.1,25.0,19.0,17.4
0483 Katrineholm,C,Centerpartiet,7.6,5.5,6.0,6.7,6.3,6.4,8.0
0483 Katrineholm,L,Liberalerna,6.4,4.0,9.8,7.2,6.8,4.2,3.8
0483 Katrineholm,KD,Kristdemokraterna,3.3,9.6,7.8,5.7,4.3,3.5,5.3
0483 Katrineholm,MP,Miljöpartiet,5.9,5.4,5.0,5.2,7.6,6.0,3.2
0483 Katrineholm,S,Socialdemokraterna,54.2,47.4,52.7,48.0,38.4,39.5,37.3
0483 Katrineholm,V,Vänsterpartiet,4.7,9.8,5.6,4.3,4.6,4.7,6.0
0483 Katrineholm,SD,Sverigedemokraterna,..,0.2,1.2,2.4,6.3,14.3,17.8
0483 Katrineholm,A,övriga partier,1.3,1.7,1.0,1.5,0.8,2.4,1.2
0484 Eskilstuna,M,Moderaterna,17.8,18.9,12.2,21.6,26.2,21.3,19.9
0484 Eskilstuna,C,Centerpartiet,4.8,3.5,4.4,6.0,4.6,4.3,5.9
0484 Eskilstuna,L,Liberalerna,7.1,4.3,12.6,6.9,6.7,4.4,4.7
0484 Eskilstuna,KD,Kristdemokraterna,3.2,10.0,7.6,5.8,4.4,3.6,4.8
0484 Eskilstuna,MP,Miljöpartiet,4.5,4.8,5.0,5.4,7.9,6.1,3.3
0484 Eskilstuna,S,Socialdemokraterna,54.2,44.9,47.8,44.1,35.8,35.5,32.2
0484 Eskilstuna,V,Vänsterpartiet,5.6,11.5,7.8,5.4,5.4,5.4,6.8
0484 Eskilstuna,SD,Sverigedemokraterna,..,0.3,1.3,2.8,7.9,16.6,21.0
0484 Eskilstuna,A,övriga partier,2.8,1.8,1.3,2.1,1.0,2.9,1.3
0486 Strängnäs,M,Moderaterna,26.1,27.7,18.4,32.4,35.2,28.8,26.7
0486 Strängnäs,C,Centerpartiet,6.6,4.2,5.4,7.6,6.7,5.5,8.0
0486 Strängnäs,L,Liberalerna,9.1,5.6,16.3,8.3,7.7,5.4,4.9
0486 Strängnäs,KD,Kristdemokraterna,3.4,12.2,9.5,6.7,5.4,4.9,5.9
0486 Strängnäs,MP,Miljöpartiet,4.8,4.2,4.5,4.7,6.7,5.9,3.9
0486 Strängnäs,S,Socialdemokraterna,43.2,35.5,38.5,32.5,26.8,27.5,23.6
0486 Strängnäs,V,Vänsterpartiet,4.8,9.2,5.9,3.7,4.2,4.6,6.0
0486 Strängnäs,SD,Sverigedemokraterna,..,0.2,0.5,2.2,6.3,14.7,19.8
0486 Strängnäs,A,övriga partier,2.1,1.2,1.1,2.0,1.0,2.7,1.2
0488 Trosa,M,Moderaterna,26.3,26.4,19.0,35.2,41.3,32.3,27.2
0488 Trosa,C,Centerpartiet,6.7,4.1,5.1,6.3,5.2,6.4,9.2
0488 Trosa,L,Liberalerna,8.6,4.6,13.4,7.9,7.0,5.1,4.7
0488 Trosa,KD,Kristdemokraterna,3.4,14.3,9.3,7.0,5.4,4.3,6.3
0488 Trosa,MP,Miljöpartiet,5.8,5.3,5.3,4.9,7.4,6.6,4.1
0488 Trosa,S,Socialdemokraterna,41.8,34.7,41.0,31.0,23.5,26.6,23.4
0488 Trosa,V,Vänsterpartiet,4.6,8.8,5.5,3.4,3.5,3.5,5.3
0488 Trosa,SD,Sverigedemokraterna,..,0.4,0.6,1.9,5.8,12.2,18.8
0488 Trosa,A,övriga partier,2.9,1.4,0.7,2.4,1.0,3.1,1.1
0509 Ödeshög,M,Moderaterna,19.3,17.3,12.2,20.8,26.5,18.4,16.6
0509 Ödeshög,C,Centerpartiet,16.7,12.0,14.0,12.8,9.6,9.4,10.3
0509 Ödeshög,L,Liberalerna,4.3,2.6,5.9,4.0,3.8,2.7,2.3
0509 Ödeshög,KD,Kristdemokraterna,7.9,19.5,18.4,13.6,12.4,10.0,15.1
0509 Ödeshög,MP,Miljöpartiet,5.6,4.8,4.6,3.8,5.9,4.9,2.6
0509 Ödeshög,S,Socialdemokraterna,41.1,33.5,38.1,35.7,31.2,31.5,26.1
0509 Ödeshög,V,Vänsterpartiet,3.4,8.6,5.5,3.8,3.8,3.0,4.1
0509 Ödeshög,SD,Sverigedemokraterna,..,0.2,0.3,2.8,5.9,17.4,20.9
0509 Ödeshög,A,övriga partier,1.7,1.4,1.1,2.6,0.9,2.7,2.0
0512 Ydre,M,Moderaterna,16.5,15.0,10.4,20.3,25.5,17.7,15.8
0512 Ydre,C,Centerpartiet,23.4,14.2,16.9,19.0,16.0,16.4,14.9
0512 Ydre,L,Liberalerna,5.5,2.9,8.3,4.3,5.1,3.4,3.6
0512 Ydre,KD,Kristdemokraterna,10.5,25.7,21.4,14.4,11.3,9.7,12.4
0512 Ydre,MP,Miljöpartiet,5.8,4.7,4.8,3.8,4.9,4.3,3.0
0512 Ydre,S,Socialdemokraterna,33.4,28.3,33.0,30.8,28.2,29.1,22.9
0512 Ydre,V,Vänsterpartiet,3.5,7.3,4.3,3.6,2.9,3.2,5.5
0512 Ydre,SD,Sverigedemokraterna,..,0.1,0.0,2.6,5.8,14.3,20.5
0512 Ydre,A,övriga partier,1.5,1.6,0.8,1.2,0.4,1.9,1.5
0513 Kinda,M,Moderaterna,17.3,16.0,11.1,20.8,25.0,19.2,16.9
0513 Kinda,C,Centerpartiet,19.7,13.2,16.3,16.2,13.2,10.4,12.2
0513 Kinda,L,Liberalerna,4.5,2.7,8.1,3.7,5.0,3.2,3.6
0513 Kinda,KD,Kristdemokraterna,7.7,18.3,14.4,8.4,6.7,6.3,8.0
0513 Kinda,MP,Miljöpartiet,5.7,4.1,4.2,4.0,6.3,5.0,3.8
0513 Kinda,S,Socialdemokraterna,39.5,34.7,38.5,38.0,32.1,31.7,27.5
0513 Kinda,V,Vänsterpartiet,3.9,9.4,5.8,4.2,4.7,4.6,5.9
0513 Kinda,SD,Sverigedemokraterna,..,0.2,1.0,2.5,6.3,16.7,20.6
0513 Kinda,A,övriga partier,1.7,1.5,0.5,2.3,0.7,3.0,1.6
0560 Boxholm,M,Moderaterna,11.0,11.2,7.4,13.5,20.2,14.8,15.0
0560 Boxholm,C,Centerpartiet,13.1,9.9,11.4,11.2,9.1,8.3,9.6
0560 Boxholm,L,Liberalerna,3.7,2.0,5.9,2.9,3.7,2.7,2.7
0560 Boxholm,KD,Kristdemokraterna,5.1,13.1,9.8,8.0,5.1,4.4,5.8
0560 Boxholm,MP,Miljöpartiet,4.7,3.9,3.2,3.0,4.9,4.2,2.5
0560 Boxholm,S,Socialdemokraterna,54.2,44.6,53.4,50.5,45.4,44.1,37.7
0560 Boxholm,V,Vänsterpartiet,6.7,14.2,7.5,5.5,5.7,4.3,4.9
0560 Boxholm,SD,Sverigedemokraterna,..,0.1,0.6,2.5,5.4,15.6,19.7
0560 Boxholm,A,övriga partier,1.5,0.9,0.8,2.9,0.5,1.5,2.1
0561 Åtvidaberg,M,Moderaterna,15.1,15.3,11.0,19.8,25.2,18.4,16.6
0561 Åtvidaberg,C,Centerpartiet,10.8,7.5,9.7,10.3,8.2,7.9,9.7
0561 Åtvidaberg,L,Liberalerna,4.8,2.4,7.7,4.2,4.8,2.8,4.0
0561 Åtvidaberg,KD,Kristdemokraterna,4.2,12.4,10.1,7.0,5.1,3.8,5.9
0561 Åtvidaberg,MP,Miljöpartiet,4.4,3.9,3.7,3.1,5.2,4.5,2.9
0561 Åtvidaberg,S,Socialdemokraterna,54.3,45.1,49.0,46.4,41.4,39.7,33.4
0561 Åtvidaberg,V,Vänsterpartiet,4.6,11.4,6.7,4.7,4.4,3.9,5.0
0561 Åtvidaberg,SD,Sverigedemokraterna,..,0.2,0.7,2.2,5.0,17.2,21.3
0561 Åtvidaberg,A,övriga partier,1.8,1.8,1.4,2.4,0.6,1.8,1.2
0562 Finspång,M,Moderaterna,14.1,14.9,9.7,18.0,22.2,16.1,15.1
0562 Finspång,C,Centerpartiet,6.9,4.4,5.7,7.0,5.6,5.1,6.5
0562 Finspång,L,Liberalerna,4.9,2.9,8.3,4.7,4.6,3.3,3.4
0562 Finspång,KD,Kristdemokraterna,5.2,11.4,9.6,7.0,5.8,4.5,6.3
0562 Finspång,MP,Miljöpartiet,4.3,4.0,4.0,4.1,5.8,4.6,2.5
0562 Finspång,S,Socialdemokraterna,55.1,46.2,51.6,47.1,43.9,43.2,36.7
0562 Finspång,V,Vänsterpartiet,7.4,14.5,9.5,6.6,6.1,5.3,7.4
0562 Finspång,SD,Sverigedemokraterna,..,0.2,0.9,2.7,5.3,15.4,20.5
0562 Finspång,A,övriga partier,2.1,1.5,0.6,2.8,0.7,2.6,1.6
0563 Valdemarsvik,M,Moderaterna,18.0,18.4,13.9,22.9,26.2,20.0,17.3
0563 Valdemarsvik,C,Centerpartiet,15.4,14.0,15.5,14.7,11.9,10.5,10.6
0563 Valdemarsvik,L,Liberalerna,2.9,1.7,7.7,4.2,4.2,2.8,2.7
0563 Valdemarsvik,KD,Kristdemokraterna,4.5,11.6,9.1,6.6,5.2,3.5,7.2
0563 Valdemarsvik,MP,Miljöpartiet,4.7,3.7,3.4,2.7,4.4,3.3,2.0
0563 Valdemarsvik,S,Socialdemokraterna,47.8,39.5,43.4,40.2,37.0,35.3,30.1
0563 Valdemarsvik,V,Vänsterpartiet,3.6,9.2,5.8,4.0,4.1,3.7,5.4
0563 Valdemarsvik,SD,Sverigedemokraterna,..,0.2,0.4,2.5,6.4,18.5,23.3
0563 Valdemarsvik,A,övriga partier,3.1,1.6,0.8,2.3,0.6,2.4,1.4
0580 Linköping,M,Moderaterna,24.7,25.6,16.0,27.4,30.6,24.2,22.2
0580 Linköping,C,Centerpartiet,6.5,4.1,5.1,7.2,6.3,6.1,9.6
0580 Linköping,L,Liberalerna,9.7,5.5,15.1,8.6,8.8,7.0,7.2
0580 Linköping,KD,Kristdemokraterna,5.5,14.3,10.7,7.7,6.4,5.8,6.5
0580 Linköping,MP,Miljöpartiet,5.4,5.1,5.4,6.2,9.4,8.2,5.6
0580 Linköping,S,Socialdemokraterna,40.3,32.7,38.2,32.8,27.6,29.1,27.5
0580 Linköping,V,Vänsterpartiet,5.5,10.0,7.0,4.8,4.7,4.7,6.4
0580 Linköping,SD,Sverigedemokraterna,..,0.2,0.7,1.7,4.5,11.2,13.2
0580 Linköping,A,övriga partier,2.4,2.4,1.9,3.7,1.7,3.7,1.7
0581 Norrköping,M,Moderaterna,24.3,23.9,16.7,26.1,30.2,23.2,20.5
0581 Norrköping,C,Centerpartiet,4.8,3.2,3.8,5.6,4.7,4.5,6.5
0581 Norrköping,L,Liberalerna,5.3,3.1,11.6,6.0,6.0,4.5,4.8
0581 Norrköping,KD,Kristdemokraterna,3.8,11.2,9.1,6.4,5.2,4.6,6.4
0581 Norrköping,MP,Miljöpartiet,5.1,5.2,5.1,5.5,7.9,6.9,4.0
0581 Norrköping,S,Socialdemokraterna,47.1,37.3,42.3,37.1,32.5,30.9,28.3
0581 Norrköping,V,Vänsterpartiet,5.9,11.6,7.8,5.8,5.7,5.5,8.1
0581 Norrköping,SD,Sverigedemokraterna,..,0.3,1.4,2.8,6.1,16.3,19.6
0581 Norrköping,A,övriga partier,3.6,4.2,2.2,4.6,1.8,3.7,1.7
0582 Söderköping,M,Moderaterna,25.6,26.3,19.0,28.6,33.7,26.0,21.7
0582 Söderköping,C,Centerpartiet,13.9,9.5,10.4,11.7,10.0,8.7,10.9
0582 Söderköping,L,Liberalerna,4.7,2.7,10.3,5.3,5.9,4.3,5.0
0582 Söderköping,KD,Kristdemokraterna,4.5,13.8,11.5,7.6,6.6,5.0,7.8
0582 Söderköping,MP,Miljöpartiet,5.9,5.0,5.4,5.3,7.1,5.8,3.5
0582 Söderköping,S,Socialdemokraterna,38.7,31.6,35.3,30.9,26.2,27.0,22.4
0582 Söderköping,V,Vänsterpartiet,3.8,8.9,5.8,4.4,4.2,3.8,5.5
0582 Söderköping,SD,Sverigedemokraterna,..,0.2,1.3,2.7,5.0,16.5,21.9
0582 Söderköping,A,övriga partier,2.9,2.1,1.1,3.5,1.3,2.8,1.3
0583 Motala,M,Moderaterna,16.2,16.6,10.8,21.0,24.0,18.7,19.5
0583 Motala,C,Centerpartiet,6.5,4.4,5.1,6.2,4.6,5.0,6.8
0583 Motala,L,Liberalerna,6.0,3.3,10.2,6.1,6.2,4.4,4.4
0583 Motala,KD,Kristdemokraterna,3.7,12.0,9.0,5.9,4.6,3.8,6.2
0583 Motala,MP,Miljöpartiet,4.8,4.6,4.1,4.0,5.2,4.9,2.7
0583 Motala,S,Socialdemokraterna,55.5,44.2,49.4,44.1,42.9,39.8,32.7
0583 Motala,V,Vänsterpartiet,5.8,13.1,7.6,5.8,5.5,4.8,6.3
0583 Motala,SD,Sverigedemokraterna,..,0.2,0.4,2.6,5.7,16.2,20.3
0583 Motala,A,övriga partier,1.5,1.6,3.4,4.3,1.3,2.4,1.0
0584 Vadstena,M,Moderaterna,21.3,21.4,16.7,27.9,31.1,25.2,22.5
0584 Vadstena,C,Centerpartiet,10.0,6.3,6.8,8.1,6.2,6.8,9.3
0584 Vadstena,L,Liberalerna,6.5,3.7,10.2,5.4,6.8,3.8,3.7
0584 Vadstena,KD,Kristdemokraterna,4.9,15.4,12.0,8.0,6.7,5.8,7.3
0584 Vadstena,MP,Miljöpartiet,5.6,5.1,4.8,4.2,6.6,6.2,3.9
0584 Vadstena,S,Socialdemokraterna,46.6,36.4,40.7,36.0,32.9,33.2,29.1
0584 Vadstena,V,Vänsterpartiet,3.8,9.6,5.3,4.3,3.9,3.8,5.9
0584 Vadstena,SD,Sverigedemokraterna,..,0.2,0.6,2.6,5.0,12.5,16.9
0584 Vadstena,A,övriga partier,1.3,1.8,2.8,3.4,0.9,2.9,1.4
0586 Mjölby,M,Moderaterna,18.2,18.8,12.7,21.5,26.0,21.0,20.3
0586 Mjölby,C,Centerpartiet,10.3,6.6,8.0,8.6,6.8,6.4,8.2
0586 Mjölby,L,Liberalerna,5.7,3.1,9.9,5.5,6.4,4.3,4.4
0586 Mjölby,KD,Kristdemokraterna,4.6,13.3,10.1,7.2,5.7,4.8,6.4
0586 Mjölby,MP,Miljöpartiet,4.2,3.7,3.4,3.2,5.8,4.3,2.8
0586 Mjölby,S,Socialdemokraterna,49.8,40.9,46.4,42.9,37.8,37.7,31.7
0586 Mjölby,V,Vänsterpartiet,5.5,11.9,7.2,4.6,5.1,4.3,5.7
0586 Mjölby,SD,Sverigedemokraterna,..,0.2,0.3,2.0,4.8,14.9,19.4
0586 Mjölby,A,övriga partier,1.7,1.5,2.1,4.5,1.6,2.3,1.1
0604 Aneby,M,Moderaterna,17.0,14.8,9.2,17.6,22.6,16.8,16.2
0604 Aneby,C,Centerpartiet,16.9,10.4,11.6,13.1,12.3,12.3,12.8
0604 Aneby,L,Liberalerna,5.1,2.9,7.4,4.9,5.0,2.9,3.4
0604 Aneby,KD,Kristdemokraterna,16.8,30.6,28.3,22.0,17.7,13.5,14.5
0604 Aneby,MP,Miljöpartiet,4.2,4.1,2.9,2.8,4.6,4.8,2.3
0604 Aneby,S,Socialdemokraterna,35.2,28.2,34.4,31.5,26.6,29.1,23.9
0604 Aneby,V,Vänsterpartiet,2.8,6.9,4.3,3.2,3.0,2.6,4.0
0604 Aneby,SD,Sverigedemokraterna,..,0.2,0.6,3.3,7.6,16.5,21.1
0604 Aneby,A,övriga partier,2.0,1.8,1.4,1.6,0.6,1.4,1.7
0617 Gnosjö,M,Moderaterna,22.7,19.4,12.9,21.5,25.3,20.7,18.5
0617 Gnosjö,C,Centerpartiet,11.2,6.4,6.6,7.5,7.9,8.5,9.8
0617 Gnosjö,L,Liberalerna,5.5,2.9,7.5,4.0,4.8,2.9,3.2
0617 Gnosjö,KD,Kristdemokraterna,16.2,31.2,30.6,25.1,19.1,14.2,15.0
0617 Gnosjö,MP,Miljöpartiet,3.2,2.9,1.9,2.3,2.9,3.4,1.8
0617 Gnosjö,S,Socialdemokraterna,35.6,29.4,34.4,31.7,29.6,30.5,26.3
0617 Gnosjö,V,Vänsterpartiet,2.9,5.7,3.6,2.5,2.7,2.6,2.8
0617 Gnosjö,SD,Sverigedemokraterna,..,0.4,1.5,3.7,7.0,15.9,21.8
0617 Gnosjö,A,övriga partier,2.6,1.8,0.9,1.8,0.8,1.2,0.8
0642 Mullsjö,M,Moderaterna,19.4,17.8,12.0,20.9,25.6,16.7,14.1
0642 Mullsjö,C,Centerpartiet,10.2,4.5,5.3,7.2,5.0,5.1,7.0
0642 Mullsjö,L,Liberalerna,5.7,2.2,8.0,5.0,5.2,3.4,2.6
0642 Mullsjö,KD,Kristdemokraterna,14.6,27.3,25.6,19.8,18.8,17.0,17.9
0642 Mullsjö,MP,Miljöpartiet,6.3,4.8,4.3,4.1,5.8,6.0,4.0
0642 Mullsjö,S,Socialdemokraterna,36.9,30.2,35.3,32.6,27.8,28.6,25.3
0642 Mullsjö,V,Vänsterpartiet,4.7,10.7,7.0,4.8,4.8,4.8,5.4
0642 Mullsjö,SD,Sverigedemokraterna,..,0.4,0.8,3.0,6.1,16.0,22.1
0642 Mullsjö,A,övriga partier,2.1,2.1,1.6,2.8,0.9,2.4,1.6
0643 Habo,M,Moderaterna,22.3,20.9,14.9,24.8,30.3,22.7,19.7
0643 Habo,C,Centerpartiet,10.3,5.8,6.1,7.0,5.5,6.5,8.8
0643 Habo,L,Liberalerna,6.2,2.6,9.4,5.6,6.0,3.7,4.2
0643 Habo,KD,Kristdemokraterna,12.9,26.2,23.7,19.4,16.3,13.4,15.1
0643 Habo,MP,Miljöpartiet,4.7,3.7,2.9,3.2,5.2,5.4,3.4
0643 Habo,S,Socialdemokraterna,36.7,31.1,36.0,31.7,27.0,27.7,23.7
0643 Habo,V,Vänsterpartiet,3.9,7.7,5.1,3.4,3.1,3.2,3.9
0643 Habo,SD,Sverigedemokraterna,..,0.1,0.4,3.4,6.1,15.4,20.0
0643 Habo,A,övriga partier,3.0,2.0,1.6,1.5,0.5,2.0,1.1
0662 Gislaved,M,Moderaterna,20.9,20.3,14.1,25.0,28.4,21.9,18.4
0662 Gislaved,C,Centerpartiet,13.9,9.7,10.6,10.5,9.7,10.1,11.9
0662 Gislaved,L,Liberalerna,6.4,3.3,8.9,5.4,5.3,3.2,3.2
0662 Gislaved,KD,Kristdemokraterna,6.5,16.4,14.7,10.0,7.6,5.4,7.8
0662 Gislaved,MP,Miljöpartiet,4.4,3.7,2.7,2.7,3.9,3.7,2.2
0662 Gislaved,S,Socialdemokraterna,43.4,37.4,41.4,36.7,34.4,35.4,29.4
0662 Gislaved,V,Vänsterpartiet,2.9,7.3,4.7,3.1,2.9,3.1,3.9
0662 Gislaved,SD,Sverigedemokraterna,..,0.2,1.5,4.6,7.2,15.9,22.3
0662 Gislaved,A,övriga partier,1.6,1.7,1.3,2.0,0.6,1.4,0.8
0665 Vaggeryd,M,Moderaterna,19.1,15.7,10.7,19.8,24.6,17.8,15.3
0665 Vaggeryd,C,Centerpartiet,11.5,7.2,7.4,8.4,7.8,8.0,10.3
0665 Vaggeryd,L,Liberalerna,4.9,2.8,6.6,4.6,4.4,3.1,3.6
0665 Vaggeryd,KD,Kristdemokraterna,13.5,26.1,24.8,19.1,14.8,11.9,13.0
0665 Vaggeryd,MP,Miljöpartiet,3.7,2.6,2.6,2.5,3.6,4.1,2.6
0665 Vaggeryd,S,Socialdemokraterna,40.6,34.8,40.5,37.3,33.3,34.3,29.3
0665 Vaggeryd,V,Vänsterpartiet,5.2,8.7,5.0,3.5,3.3,3.5,4.2
0665 Vaggeryd,SD,Sverigedemokraterna,..,0.2,1.0,3.8,7.4,15.5,20.4
0665 Vaggeryd,A,övriga partier,1.5,1.8,1.3,1.1,0.7,1.9,1.2
0680 Jönköping,M,Moderaterna,20.7,19.2,13.2,22.9,27.9,21.9,18.6
0680 Jönköping,C,Centerpartiet,6.7,3.7,4.1,5.8,5.3,5.8,9.2
0680 Jönköping,L,Liberalerna,7.3,3.7,10.7,6.0,6.3,4.2,4.6
0680 Jönköping,KD,Kristdemokraterna,10.7,22.6,19.9,17.0,13.5,11.1,12.3
0680 Jönköping,MP,Miljöpartiet,4.1,3.7,3.6,4.1,6.4,6.8,4.2
0680 Jönköping,S,Socialdemokraterna,43.3,35.0,39.7,34.5,29.5,30.5,27.6
0680 Jönköping,V,Vänsterpartiet,5.1,9.6,6.5,5.0,4.8,4.6,5.9
0680 Jönköping,SD,Sverigedemokraterna,..,0.2,1.0,2.6,5.5,12.5,16.4
0680 Jönköping,A,övriga partier,2.2,2.3,1.3,2.1,0.8,2.5,1.2
0682 Nässjö,M,Moderaterna,17.5,16.3,11.5,19.2,24.1,16.7,15.4
0682 Nässjö,C,Centerpartiet,10.6,6.8,7.4,8.0,7.0,7.0,8.4
0682 Nässjö,L,Liberalerna,5.4,2.9,7.1,4.1,4.9,2.8,3.5
0682 Nässjö,KD,Kristdemokraterna,8.6,20.1,17.7,14.0,11.0,9.2,10.8
0682 Nässjö,MP,Miljöpartiet,4.3,3.4,3.3,3.5,5.2,5.1,2.9
0682 Nässjö,S,Socialdemokraterna,46.5,38.3,43.5,40.9,34.4,33.8,29.4
0682 Nässjö,V,Vänsterpartiet,4.9,10.6,7.3,5.4,5.0,4.1,5.4
0682 Nässjö,SD,Sverigedemokraterna,..,0.1,0.9,3.2,7.7,19.3,22.9
0682 Nässjö,A,övriga partier,2.2,1.5,1.2,1.7,0.7,1.9,1.4
0683 Värnamo,M,Moderaterna,20.0,19.0,12.3,22.1,25.1,20.4,18.1
0683 Värnamo,C,Centerpartiet,12.3,7.8,8.8,10.6,11.7,10.9,12.6
0683 Värnamo,L,Liberalerna,6.2,3.0,8.8,5.0,4.7,3.0,3.6
0683 Värnamo,KD,Kristdemokraterna,12.1,23.6,20.9,15.5,12.6,9.8,11.6
0683 Värnamo,MP,Miljöpartiet,4.3,3.4,2.7,2.8,4.3,4.1,2.5
0683 Värnamo,S,Socialdemokraterna,39.9,34.8,40.1,35.9,31.4,33.8,28.4
